
Autocorrelation function for res2
***, **, * indicate significance at the 1%, 5%, 10% levels
using standard error 1/T^0.5

  LAG      ACF          PACF         Q-stat. [p-value]

    1  -0.0117       -0.0117          0.0132  [0.908]
    2   0.0214        0.0213          0.0582  [0.971]
    3  -0.0629       -0.0624          0.4502  [0.930]
    4   0.1700        0.1689          3.3469  [0.502]
    5  -0.0926       -0.0914          4.2173  [0.519]
    6   0.1322        0.1286          6.0104  [0.422]
    7  -0.1788  *    -0.1702 *        9.3248  [0.230]
    8  -0.0301       -0.0631          9.4199  [0.308]
    9  -0.0965       -0.0564         10.4087  [0.318]
   10   0.0357       -0.0300         10.5457  [0.394]

